
2024/06/21 (00:50:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (00:50:04) | ===> btop++ v.1.3.2
2024/06/21 (00:50:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (14:13:19) | ===> btop++ v.1.3.2
2024/06/21 (14:13:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (14:35:48) | ===> btop++ v.1.3.2
2024/06/21 (14:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (14:39:08) | ===> btop++ v.1.3.2
2024/06/21 (14:39:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (17:55:59) | ===> btop++ v.1.3.2
2024/06/21 (17:55:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (17:59:51) | ===> btop++ v.1.3.2
2024/06/21 (17:59:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (18:00:49) | ===> btop++ v.1.3.2
2024/06/21 (18:00:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (22:12:48) | ===> btop++ v.1.3.2
2024/06/21 (22:12:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (00:01:51) | ===> btop++ v.1.3.2
2024/06/22 (00:01:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (00:03:46) | ===> btop++ v.1.3.2
2024/06/22 (00:03:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (00:05:34) | ===> btop++ v.1.3.2
2024/06/22 (00:05:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (18:46:28) | ===> btop++ v.1.3.2
2024/06/22 (18:46:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (18:48:12) | ===> btop++ v.1.3.2
2024/06/22 (18:48:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (17:47:26) | ===> btop++ v.1.3.2
2024/06/25 (17:47:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (17:49:57) | ===> btop++ v.1.3.2
2024/06/25 (17:49:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (14:37:39) | ===> btop++ v.1.3.2
2024/06/27 (14:37:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (20:17:47) | ===> btop++ v.1.3.2
2024/06/27 (20:17:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (14:09:12) | ===> btop++ v.1.3.2
2024/06/28 (14:09:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (14:13:16) | ===> btop++ v.1.3.2
2024/06/28 (14:13:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (14:16:54) | ===> btop++ v.1.3.2
2024/06/28 (14:16:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (20:42:16) | ===> btop++ v.1.3.2
2024/06/28 (20:42:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (16:49:59) | ===> btop++ v.1.3.2
2024/06/30 (16:49:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (23:44:36) | ===> btop++ v.1.3.2
2024/06/30 (23:44:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (23:45:23) | ===> btop++ v.1.3.2
2024/06/30 (23:45:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (17:35:27) | ===> btop++ v.1.3.2
2024/07/02 (17:35:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (20:21:09) | ===> btop++ v.1.3.2
2024/07/02 (20:21:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (20:23:38) | ===> btop++ v.1.3.2
2024/07/02 (20:23:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (23:15:51) | ===> btop++ v.1.3.2
2024/07/02 (23:15:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (14:36:21) | ===> btop++ v.1.3.2
2024/07/04 (14:36:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (17:40:10) | ===> btop++ v.1.3.2
2024/07/04 (17:40:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (20:29:34) | ===> btop++ v.1.3.2
2024/07/04 (20:29:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (20:30:00) | ===> btop++ v.1.3.2
2024/07/04 (20:30:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (22:02:15) | ===> btop++ v.1.3.2
2024/07/05 (22:02:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (21:10:53) | ===> btop++ v.1.3.2
2024/07/07 (21:10:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (21:12:01) | ===> btop++ v.1.3.2
2024/07/07 (21:12:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (14:54:42) | ===> btop++ v.1.3.2
2024/07/08 (14:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:24:38) | ===> btop++ v.1.3.2
2024/07/08 (16:24:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:26:58) | ===> btop++ v.1.3.2
2024/07/08 (16:26:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:40:17) | ===> btop++ v.1.3.2
2024/07/08 (16:40:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:42:20) | ===> btop++ v.1.3.2
2024/07/08 (16:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (17:49:37) | ===> btop++ v.1.3.2
2024/07/08 (17:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (18:06:57) | ===> btop++ v.1.3.2
2024/07/08 (18:06:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (18:22:14) | ===> btop++ v.1.3.2
2024/07/08 (18:22:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (18:24:53) | ===> btop++ v.1.3.2
2024/07/08 (18:24:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:25:27) | ===> btop++ v.1.3.2
2024/07/08 (19:25:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:25:45) | ===> btop++ v.1.3.2
2024/07/08 (19:25:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:43:08) | ===> btop++ v.1.3.2
2024/07/08 (19:43:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:43:29) | ===> btop++ v.1.3.2
2024/07/08 (19:43:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:44:00) | ===> btop++ v.1.3.2
2024/07/08 (19:44:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:44:13) | ===> btop++ v.1.3.2
2024/07/08 (19:44:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (20:17:57) | ===> btop++ v.1.3.2
2024/07/08 (20:17:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (20:29:10) | ===> btop++ v.1.3.2
2024/07/08 (20:29:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (16:49:12) | ===> btop++ v.1.3.2
2024/07/09 (16:49:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (17:36:01) | ===> btop++ v.1.3.2
2024/07/09 (17:36:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (15:55:14) | ===> btop++ v.1.3.2
2024/07/10 (15:55:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (19:32:18) | ===> btop++ v.1.3.2
2024/07/10 (19:32:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (20:10:01) | ===> btop++ v.1.3.2
2024/07/10 (20:10:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:00:52) | ===> btop++ v.1.3.2
2024/07/11 (18:00:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:07:02) | ===> btop++ v.1.3.2
2024/07/11 (18:07:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:08:31) | ===> btop++ v.1.3.2
2024/07/11 (18:08:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:10:21) | ===> btop++ v.1.3.2
2024/07/11 (18:10:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:11:20) | ===> btop++ v.1.3.2
2024/07/11 (18:11:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (18:16:19) | ===> btop++ v.1.3.2
2024/07/11 (18:16:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (10:57:38) | ===> btop++ v.1.3.2
2024/07/12 (10:57:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (23:24:06) | ===> btop++ v.1.3.2
2024/07/12 (23:24:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (22:49:37) | ===> btop++ v.1.3.2
2024/07/14 (22:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (21:25:18) | ===> btop++ v.1.3.2
2024/07/20 (21:25:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (15:00:26) | ===> btop++ v.1.3.2
2024/07/21 (15:00:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (19:13:28) | ===> btop++ v.1.3.2
2024/07/21 (19:13:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (19:13:32) | ===> btop++ v.1.3.2
2024/07/21 (19:13:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (19:57:49) | ===> btop++ v.1.3.2
2024/07/21 (19:57:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (18:27:30) | ===> btop++ v.1.3.2
2024/07/23 (18:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (18:48:58) | ===> btop++ v.1.3.2
2024/07/23 (18:48:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (18:50:08) | ===> btop++ v.1.3.2
2024/07/23 (18:50:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (02:14:55) | ===> btop++ v.1.3.2
2024/07/24 (02:14:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (19:40:06) | ===> btop++ v.1.3.2
2024/07/24 (19:40:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (15:30:23) | ===> btop++ v.1.3.2
2024/07/25 (15:30:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (17:14:38) | ===> btop++ v.1.3.2
2024/07/25 (17:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (21:08:23) | ===> btop++ v.1.3.2
2024/07/25 (21:08:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
